2018-11-28 22:28:36,526 @@@@smoothness_penalty_weight:0.0001
2018-11-28 22:28:36,527 @@@@smoothness_penalty_bias:-1.0
2018-11-28 22:28:36,527 @@@@ABCVar_penalty_weight:0.0
2018-11-28 22:28:36,527 @@@@prefix:output/-1-1-0.yaml/2007_trainval_2012_trainval/first
2018-11-28 22:30:19,031 Epoch[0] Batch [100]	Speed: 4.37 samples/sec	Train-SmoothnessLoss=999.999838,	ABCVarPenalty=0.000000,	APenalty=0.000096,	BPenalty=0.000151,	CPenalty=0.000003,	RCNNAcc=0.706103,	
2018-11-28 22:31:50,101 Epoch[0] Batch [200]	Speed: 4.39 samples/sec	Train-SmoothnessLoss=994.381908,	ABCVarPenalty=0.000024,	APenalty=0.757002,	BPenalty=4.411031,	CPenalty=3.332132,	RCNNAcc=0.788470,	
2018-11-28 22:33:20,946 Epoch[0] Batch [300]	Speed: 4.40 samples/sec	Train-SmoothnessLoss=954.596154,	ABCVarPenalty=0.000515,	APenalty=12.510689,	BPenalty=36.951707,	CPenalty=23.138927,	RCNNAcc=0.817127,	
2018-11-28 22:34:51,281 Epoch[0] Batch [400]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=874.336277,	ABCVarPenalty=0.002862,	APenalty=42.926337,	BPenalty=110.229882,	CPenalty=64.788455,	RCNNAcc=0.830575,	
2018-11-28 22:36:22,490 Epoch[0] Batch [500]	Speed: 4.39 samples/sec	Train-SmoothnessLoss=758.629583,	ABCVarPenalty=0.004734,	APenalty=135.206499,	BPenalty=243.274560,	CPenalty=152.894048,	RCNNAcc=0.838019,	
2018-11-28 22:37:52,771 Epoch[0] Batch [600]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=670.410587,	ABCVarPenalty=0.004449,	APenalty=233.592183,	BPenalty=338.510703,	CPenalty=242.738508,	RCNNAcc=0.840178,	
2018-11-28 22:39:23,189 Epoch[0] Batch [700]	Speed: 4.42 samples/sec	Train-SmoothnessLoss=609.027008,	ABCVarPenalty=0.004890,	APenalty=342.298149,	BPenalty=436.506472,	CPenalty=329.748650,	RCNNAcc=0.841750,	
2018-11-28 22:40:53,576 Epoch[0] Batch [800]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=552.924142,	ABCVarPenalty=0.007982,	APenalty=434.843206,	BPenalty=485.304431,	CPenalty=404.175255,	RCNNAcc=0.841541,	
2018-11-28 22:42:24,008 Epoch[0] Batch [900]	Speed: 4.42 samples/sec	Train-SmoothnessLoss=508.794027,	ABCVarPenalty=0.015365,	APenalty=513.989209,	BPenalty=506.475393,	CPenalty=491.285706,	RCNNAcc=0.839811,	
2018-11-28 22:43:54,042 Epoch[0] Batch [1000]	Speed: 4.44 samples/sec	Train-SmoothnessLoss=475.956514,	ABCVarPenalty=0.024161,	APenalty=540.758543,	BPenalty=532.900663,	CPenalty=611.164806,	RCNNAcc=0.837998,	
2018-11-28 22:45:24,582 Epoch[0] Batch [1100]	Speed: 4.42 samples/sec	Train-SmoothnessLoss=481.326192,	ABCVarPenalty=0.051518,	APenalty=504.224847,	BPenalty=496.344595,	CPenalty=668.654001,	RCNNAcc=0.839253,	
2018-11-28 22:46:54,528 Epoch[0] Batch [1200]	Speed: 4.45 samples/sec	Train-SmoothnessLoss=456.944922,	ABCVarPenalty=0.086178,	APenalty=469.836905,	BPenalty=478.753887,	CPenalty=757.980074,	RCNNAcc=0.836782,	
2018-11-28 22:48:24,824 Epoch[0] Batch [1300]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=440.201366,	ABCVarPenalty=0.109566,	APenalty=442.452762,	BPenalty=459.151425,	CPenalty=821.916895,	RCNNAcc=0.833684,	
2018-11-28 22:49:54,805 Epoch[0] Batch [1400]	Speed: 4.45 samples/sec	Train-SmoothnessLoss=419.143907,	ABCVarPenalty=0.128043,	APenalty=423.585768,	BPenalty=448.519038,	CPenalty=887.168704,	RCNNAcc=0.832339,	
2018-11-28 22:51:24,980 Epoch[0] Batch [1500]	Speed: 4.44 samples/sec	Train-SmoothnessLoss=397.269638,	ABCVarPenalty=0.145627,	APenalty=409.260857,	BPenalty=431.742497,	CPenalty=962.954057,	RCNNAcc=0.830799,	
2018-11-28 22:52:55,627 Epoch[0] Batch [1600]	Speed: 4.41 samples/sec	Train-SmoothnessLoss=379.242820,	ABCVarPenalty=0.158699,	APenalty=393.648160,	BPenalty=421.312822,	CPenalty=1013.285426,	RCNNAcc=0.829301,	
2018-11-28 22:54:25,926 Epoch[0] Batch [1700]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=359.974780,	ABCVarPenalty=0.186452,	APenalty=389.372708,	BPenalty=417.503499,	CPenalty=1107.538770,	RCNNAcc=0.828540,	
2018-11-28 22:55:55,348 Epoch[0] Batch [1800]	Speed: 4.47 samples/sec	Train-SmoothnessLoss=344.056357,	ABCVarPenalty=0.222579,	APenalty=382.222911,	BPenalty=408.716854,	CPenalty=1207.892132,	RCNNAcc=0.828814,	
2018-11-28 22:57:25,599 Epoch[0] Batch [1900]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=329.589191,	ABCVarPenalty=0.250556,	APenalty=368.858377,	BPenalty=399.787413,	CPenalty=1276.667518,	RCNNAcc=0.828964,	
2018-11-28 22:58:55,521 Epoch[0] Batch [2000]	Speed: 4.45 samples/sec	Train-SmoothnessLoss=315.435639,	ABCVarPenalty=0.276959,	APenalty=357.104422,	BPenalty=395.542008,	CPenalty=1339.522906,	RCNNAcc=0.828402,	
2018-11-28 23:00:26,262 Epoch[0] Batch [2100]	Speed: 4.41 samples/sec	Train-SmoothnessLoss=303.239334,	ABCVarPenalty=0.296317,	APenalty=348.163398,	BPenalty=387.847805,	CPenalty=1393.970994,	RCNNAcc=0.827660,	
2018-11-28 23:01:56,382 Epoch[0] Batch [2200]	Speed: 4.44 samples/sec	Train-SmoothnessLoss=293.043739,	ABCVarPenalty=0.322691,	APenalty=341.597953,	BPenalty=381.661005,	CPenalty=1460.486214,	RCNNAcc=0.827531,	
2018-11-28 23:03:26,750 Epoch[0] Batch [2300]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=282.752876,	ABCVarPenalty=0.339053,	APenalty=334.157451,	BPenalty=377.024407,	CPenalty=1504.867443,	RCNNAcc=0.826832,	
2018-11-28 23:04:56,522 Epoch[0] Batch [2400]	Speed: 4.46 samples/sec	Train-SmoothnessLoss=275.159038,	ABCVarPenalty=0.362754,	APenalty=324.750917,	BPenalty=373.143185,	CPenalty=1551.921148,	RCNNAcc=0.826967,	
2018-11-28 23:06:26,854 Epoch[0] Batch [2500]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=270.297186,	ABCVarPenalty=0.394846,	APenalty=316.344657,	BPenalty=369.660250,	CPenalty=1609.628016,	RCNNAcc=0.826640,	
2018-11-28 23:07:56,563 Epoch[0] Batch [2600]	Speed: 4.46 samples/sec	Train-SmoothnessLoss=262.774108,	ABCVarPenalty=0.414512,	APenalty=308.643686,	BPenalty=366.279730,	CPenalty=1651.270500,	RCNNAcc=0.826128,	
2018-11-28 23:09:26,335 Epoch[0] Batch [2700]	Speed: 4.46 samples/sec	Train-SmoothnessLoss=256.777842,	ABCVarPenalty=0.439608,	APenalty=301.497374,	BPenalty=364.685585,	CPenalty=1698.449503,	RCNNAcc=0.825720,	
2018-11-28 23:10:55,871 Epoch[0] Batch [2800]	Speed: 4.47 samples/sec	Train-SmoothnessLoss=255.079528,	ABCVarPenalty=0.471377,	APenalty=296.000754,	BPenalty=360.076357,	CPenalty=1756.534338,	RCNNAcc=0.825961,	
2018-11-28 23:12:25,320 Epoch[0] Batch [2900]	Speed: 4.47 samples/sec	Train-SmoothnessLoss=249.321201,	ABCVarPenalty=0.485300,	APenalty=292.341563,	BPenalty=354.165525,	CPenalty=1795.279641,	RCNNAcc=0.825787,	
2018-11-28 23:13:55,424 Epoch[0] Batch [3000]	Speed: 4.44 samples/sec	Train-SmoothnessLoss=244.057418,	ABCVarPenalty=0.496785,	APenalty=289.075948,	BPenalty=351.434219,	CPenalty=1826.145241,	RCNNAcc=0.825554,	
2018-11-28 23:15:24,935 Epoch[0] Batch [3100]	Speed: 4.47 samples/sec	Train-SmoothnessLoss=238.779124,	ABCVarPenalty=0.498138,	APenalty=286.796318,	BPenalty=348.648721,	CPenalty=1839.739900,	RCNNAcc=0.825749,	
2018-11-28 23:16:55,150 Epoch[0] Batch [3200]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=232.789521,	ABCVarPenalty=0.498415,	APenalty=284.595413,	BPenalty=348.970209,	CPenalty=1849.311323,	RCNNAcc=0.825157,	
2018-11-28 23:18:25,407 Epoch[0] Batch [3300]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=230.435693,	ABCVarPenalty=0.512911,	APenalty=283.647712,	BPenalty=347.833341,	CPenalty=1883.471103,	RCNNAcc=0.825483,	
2018-11-28 23:19:55,254 Epoch[0] Batch [3400]	Speed: 4.45 samples/sec	Train-SmoothnessLoss=225.659340,	ABCVarPenalty=0.517615,	APenalty=280.377143,	BPenalty=346.851039,	CPenalty=1898.067250,	RCNNAcc=0.825254,	
2018-11-28 23:21:25,140 Epoch[0] Batch [3500]	Speed: 4.45 samples/sec	Train-SmoothnessLoss=222.768149,	ABCVarPenalty=0.526829,	APenalty=278.845501,	BPenalty=344.477548,	CPenalty=1921.723963,	RCNNAcc=0.825376,	
2018-11-28 23:22:55,901 Epoch[0] Batch [3600]	Speed: 4.41 samples/sec	Train-SmoothnessLoss=219.237566,	ABCVarPenalty=0.531664,	APenalty=277.059273,	BPenalty=342.763919,	CPenalty=1937.199698,	RCNNAcc=0.825244,	
2018-11-28 23:24:26,325 Epoch[0] Batch [3700]	Speed: 4.42 samples/sec	Train-SmoothnessLoss=215.227942,	ABCVarPenalty=0.538578,	APenalty=274.250767,	BPenalty=341.911485,	CPenalty=1954.774973,	RCNNAcc=0.824998,	
2018-11-28 23:25:56,758 Epoch[0] Batch [3800]	Speed: 4.42 samples/sec	Train-SmoothnessLoss=212.159698,	ABCVarPenalty=0.547627,	APenalty=272.562013,	BPenalty=342.091820,	CPenalty=1976.039638,	RCNNAcc=0.824929,	
2018-11-28 23:27:27,039 Epoch[0] Batch [3900]	Speed: 4.43 samples/sec	Train-SmoothnessLoss=209.552607,	ABCVarPenalty=0.553817,	APenalty=270.931618,	BPenalty=339.851597,	CPenalty=1994.061754,	RCNNAcc=0.824793,	
