2018-12-05 00:09:20,266 @@@@smoothness_roipool_weight:1e-05
2018-12-05 00:09:20,267 @@@@prefix:output/r_0.1.yaml/2007_trainval_2012_trainval/first
2018-12-05 00:11:00,928 Epoch[0] Batch [100]	Speed: 4.42 samples/sec	Train-ROIPoolPenalty=0.044736,	RCNNAcc=0.697633,	
2018-12-05 00:12:30,616 Epoch[0] Batch [200]	Speed: 4.46 samples/sec	Train-ROIPoolPenalty=10.081473,	RCNNAcc=0.784855,	
2018-12-05 00:14:00,052 Epoch[0] Batch [300]	Speed: 4.47 samples/sec	Train-ROIPoolPenalty=36.438439,	RCNNAcc=0.819508,	
2018-12-05 00:15:29,843 Epoch[0] Batch [400]	Speed: 4.45 samples/sec	Train-ROIPoolPenalty=65.696134,	RCNNAcc=0.835148,	
2018-12-05 00:16:59,026 Epoch[0] Batch [500]	Speed: 4.49 samples/sec	Train-ROIPoolPenalty=97.620061,	RCNNAcc=0.844093,	
2018-12-05 00:18:28,455 Epoch[0] Batch [600]	Speed: 4.47 samples/sec	Train-ROIPoolPenalty=144.619558,	RCNNAcc=0.849661,	
2018-12-05 00:19:58,313 Epoch[0] Batch [700]	Speed: 4.45 samples/sec	Train-ROIPoolPenalty=196.531254,	RCNNAcc=0.850690,	
2018-12-05 00:21:28,147 Epoch[0] Batch [800]	Speed: 4.45 samples/sec	Train-ROIPoolPenalty=250.280350,	RCNNAcc=0.850385,	
2018-12-05 00:22:57,903 Epoch[0] Batch [900]	Speed: 4.46 samples/sec	Train-ROIPoolPenalty=305.903462,	RCNNAcc=0.848209,	
2018-12-05 00:24:27,741 Epoch[0] Batch [1000]	Speed: 4.45 samples/sec	Train-ROIPoolPenalty=363.414499,	RCNNAcc=0.845762,	
2018-12-05 00:25:56,385 Epoch[0] Batch [1100]	Speed: 4.51 samples/sec	Train-ROIPoolPenalty=402.560236,	RCNNAcc=0.844836,	
2018-12-05 00:27:25,840 Epoch[0] Batch [1200]	Speed: 4.47 samples/sec	Train-ROIPoolPenalty=447.036091,	RCNNAcc=0.842176,	
2018-12-05 00:28:54,906 Epoch[0] Batch [1300]	Speed: 4.49 samples/sec	Train-ROIPoolPenalty=490.065947,	RCNNAcc=0.840282,	
2018-12-05 00:30:23,649 Epoch[0] Batch [1400]	Speed: 4.51 samples/sec	Train-ROIPoolPenalty=538.885981,	RCNNAcc=0.839307,	
2018-12-05 00:31:52,861 Epoch[0] Batch [1500]	Speed: 4.48 samples/sec	Train-ROIPoolPenalty=588.666557,	RCNNAcc=0.837392,	
2018-12-05 00:33:22,014 Epoch[0] Batch [1600]	Speed: 4.49 samples/sec	Train-ROIPoolPenalty=641.410432,	RCNNAcc=0.836338,	
2018-12-05 00:34:50,957 Epoch[0] Batch [1700]	Speed: 4.50 samples/sec	Train-ROIPoolPenalty=688.928892,	RCNNAcc=0.835026,	
2018-12-05 00:36:20,630 Epoch[0] Batch [1800]	Speed: 4.46 samples/sec	Train-ROIPoolPenalty=730.603890,	RCNNAcc=0.833440,	
2018-12-05 00:37:49,901 Epoch[0] Batch [1900]	Speed: 4.48 samples/sec	Train-ROIPoolPenalty=768.229602,	RCNNAcc=0.831070,	
2018-12-05 00:39:18,157 Epoch[0] Batch [2000]	Speed: 4.53 samples/sec	Train-ROIPoolPenalty=803.232548,	RCNNAcc=0.829893,	
2018-12-05 00:40:46,943 Epoch[0] Batch [2100]	Speed: 4.51 samples/sec	Train-ROIPoolPenalty=840.030275,	RCNNAcc=0.829360,	
2018-12-05 00:42:15,973 Epoch[0] Batch [2200]	Speed: 4.49 samples/sec	Train-ROIPoolPenalty=871.809554,	RCNNAcc=0.828489,	
2018-12-05 00:43:44,882 Epoch[0] Batch [2300]	Speed: 4.50 samples/sec	Train-ROIPoolPenalty=901.754661,	RCNNAcc=0.828257,	
2018-12-05 00:45:13,546 Epoch[0] Batch [2400]	Speed: 4.51 samples/sec	Train-ROIPoolPenalty=933.731890,	RCNNAcc=0.828798,	
2018-12-05 00:46:42,865 Epoch[0] Batch [2500]	Speed: 4.48 samples/sec	Train-ROIPoolPenalty=961.327325,	RCNNAcc=0.828268,	
2018-12-05 00:48:12,322 Epoch[0] Batch [2600]	Speed: 4.47 samples/sec	Train-ROIPoolPenalty=986.595531,	RCNNAcc=0.827505,	
